W_S,W_S_max,AR,t_c,sweep25,M,lambda,WTO,S,b,c_root,S_vert,S_orizz,CL_crociera,CD,Cd0,Cdi,Cdw,E_crociera,T,OEW,W_wing,W_fus,W_tail,W_LG,W_propuls,W_fuelsys,W_hydr,W_elec,W_antiice,W_instr,W_avionics,W_engine_sys,W_furn,W_services,W_crew,W_fuel,V_fuel,W_block_fuel,W_payload,ADP,flight_cost,maintenance_cost,DOC,PREE
600,664.8523177,9,0.12,20,0.76,0.31,82797.63527,137.9598806,35.23689722,6.764507409,24.83277851,34.48997016,0.555637768,0.037178982,0.022112346,0.011826237,0.003240399,14.94494299,24826.24288,42465.38253,7562.818402,8211.217291,1456.884309,3337.570387,5201.574235,678.5543588,1457.900658,1372.570512,80.82949606,583.7689729,1280.944853,120.6555704,7766.408559,1268.988281,485.3438359,20187.25274,25234.06593,17302.53123,20145,82.07081387,4965.684192,976.5969571,0.042160772,0.436605194
600,612.7312104,8,0.1,30,0.8,0.23,84392.98549,140.6324787,33.54191154,7.766842746,25.31384616,35.15811967,0.501463086,0.034509988,0.0219214,0.011808407,0.000780181,14.53095511,28174.95727,43952.30944,8171.946936,8211.217291,1485.107486,3408.136945,5939.568192,699.8613081,1485.748104,1372.570512,82.39534806,588.6246087,1280.944853,120.6555704,7766.408559,1254.427085,485.3438359,20295.67605,25369.59506,17355.62109,20145,87.40492513,5154.492167,1025.679423,0.041751559,0.435269643
600,612.7312104,8,0.1,30,0.8,0.27,84484.60455,140.7847504,33.5600656,7.525722154,25.34125507,35.1961876,0.501463086,0.034463503,0.021921274,0.011762049,0.000780181,14.55055452,28143.21964,44041.25854,8260.297147,8211.217291,1486.715506,3412.157492,5932.546583,700.2234267,1487.334717,1372.570512,82.48456274,588.5785892,1280.944853,120.6555704,7766.408559,1254.427085,485.3438359,20298.34601,25372.93252,17358.17111,20145,87.50835584,5155.384533,1026.60195,0.04176382,0.435205699
600,612.7312104,8,0.1,30,0.8,0.31,84596.51152,140.9706638,33.58221717,7.300074692,25.37471948,35.24266594,0.501463086,0.034437987,0.021922179,0.011735627,0.000780181,14.56133556,28144.60629,44136.97402,8346.343842,8211.217291,1488.678789,3417.066307,5932.853352,700.6652717,1489.271863,1372.570512,82.59348777,588.5805998,1280.944853,120.6555704,7766.408559,1254.427085,485.3438359,20314.5375,25393.17187,17372.16441,20145,87.6323757,5157.838646,1027.76836,0.041788279,0.434855141
600,612.7312104,9,0.12,30,0.8,0.23,84045.23681,140.0543639,35.50336991,7.251790927,25.2097855,35.01359097,0.501463086,0.034976202,0.021955336,0.010524703,0.002496164,14.33726508,26363.93214,43495.67346,8106.439164,8211.217291,1479.002476,3392.872541,5539.721562,738.937581,1479.72437,1372.570512,82.05663561,585.9986223,1280.944853,120.6555704,7766.408559,1254.427085,485.3438359,20404.56334,25505.70418,17446.11261,20145,86.15419474,5163.666851,1011.132409,0.041715265,0.433011936
600,612.7312104,9,0.12,30,0.8,0.27,84164.88793,140.2515054,35.52834853,7.027684332,25.24527098,35.06287636,0.501463086,0.034938359,0.02196385,0.010478345,0.002496164,14.35279461,26392.24611,43602.21565,8196.748298,8211.217291,1481.084331,3398.077818,5545.959778,739.4345826,1481.778509,1372.570512,82.17213914,586.0396775,1280.944853,120.6555704,7766.408559,1254.427085,485.3438359,20417.67229,25522.09036,17457.52932,20145,86.30248158,5165.847461,1012.567662,0.041739693,0.432728759
600,612.7312104,8,0.1,30,0.76,0.27,84604.70854,140.9839282,33.58379707,7.530303294,25.37710708,35.24598206,0.555637768,0.036520838,0.021979419,0.014440711,0.000100708,15.21426653,28187.31943,44088.43344,8273.062349,8211.217291,1488.818864,3417.416539,5942.303327,700.6967846,1489.410074,1372.570512,82.60125929,588.6425338,1280.944853,120.6555704,7766.408559,1268.988281,485.3438359,20371.2751,25464.09387,17463.61969,20145,85.3497112,4995.706078,1012.757523,0.04263034,0.432577847
600,612.7312104,8,0.1,30,0.76,0.23,84518.45466,140.8401589,33.56666905,7.77177726,25.3512286,35.21003973,0.555637768,0.036577546,0.021979211,0.014497626,0.000100708,15.19067936,28220.78956,44000.66646,8185.079355,8211.217291,1487.300631,3413.620486,5949.708994,700.3551434,1487.912052,1372.570512,82.5170261,588.6910655,1280.944853,120.6555704,7766.408559,1268.988281,485.3438359,20372.78819,25465.98524,17464.61867,20145,85.25204019,4995.312398,1011.875437,0.042621289,0.432553103
600,612.7312104,8,0.1,30,0.76,0.31,84713.50909,141.1646563,33.60531581,7.304397644,25.40963814,35.29116408,0.555637768,0.036489499,0.02198052,0.014408271,0.000100708,15.22733324,28187.66138,44183.46809,8358.9222,8211.217291,1490.72739,3422.188444,5942.378984,701.1259936,1491.293191,1372.570512,82.70714631,588.6430297,1280.944853,120.6555704,7766.408559,1268.988281,485.3438359,20385.04101,25481.30126,17475.5863,20145,85.46855937,4997.782011,1013.889869,0.042653103,0.432281634
600,612.7312104,9,0.12,30,0.8,0.31,84295.54096,140.4684111,35.55581105,6.81767795,25.28431399,35.11710277,0.501463086,0.034918756,0.021970669,0.010451923,0.002496164,14.36085211,26433.06298,43709.39303,8283.921605,8211.217291,1483.374899,3403.804942,5554.95341,739.980989,1484.038583,1372.570512,82.29922227,586.098862,1280.944853,120.6555704,7766.408559,1254.427085,485.3438359,20441.14794,25551.43492,17477.70989,20145,86.45615556,5169.195694,1014.073157,0.041772483,0.432229111
