W/S,W/S max,check W/S max,AR,t/c,sweep25,M,lambda,WTO,CL_crociera,CD,E,T,S,b,check b,OEW,W_wing,W_fus,W_tail,W_LG,W_propuls,W_fuelsys,W_hydr,W_elec,W_antiice,W_instr,W_avionics,W_engine_sys,W_furn,W_services,W_crew,W_fuel,V_fuel,W_payload
550,669.7000213,VERO,9,0.1,30,0.82,0.31,83238.43066,0.433516733,0.027532328,15.74573483,24584.89652,151.3203844,36.90370523,FALSO,44485.45141,9529.982842,8211.217291,1672.298307,3357.385621,4777.805073,766.7767441,1625.156057,1372.570512,88.65729924,583.4190206,1280.944853,120.6555704,7766.408559,1247.477016,485.3438359,18607.97925,23259.97407,20145
550,633.4527129,VERO,11,0.1,35,0.76,0.23,85277.99292,0.504668718,0.027544067,18.32222985,23685.84816,155.0118932,41.29322978,FALSO,47113.70756,12011.62972,8211.217291,1713.094554,3446.732861,4599.133987,900.3948975,1664.304305,1372.570512,90.82012217,582.1154005,1280.944853,120.6555704,7766.408559,1268.988281,485.3438359,18019.28536,22524.1067,20145
600,633.4527129,VERO,11,0.1,35,0.82,0.27,83463.80717,0.472927345,0.027549746,17.16630501,23687.03795,139.0807312,39.1137833,FALSO,45747.42508,11146.01798,8211.217291,1537.03331,3367.165,4599.370301,854.9095232,1495.355204,1372.570512,81.48619271,582.1171257,1280.944853,120.6555704,7766.408559,1247.477016,485.3438359,17571.38209,21964.22761,20145
550,633.4527129,VERO,9,0.1,35,0.8,0.31,84077.48655,0.455463518,0.027561236,16.52551105,25481.05412,152.8410017,37.08866425,FALSO,45467.92273,10209.51318,8211.217291,1689.103219,3394.189763,4956.102272,812.5449994,1641.28212,1372.570512,89.5482157,584.7184491,1280.944853,120.6555704,7766.408559,1254.427085,485.3438359,18464.56382,23080.70477,20145
550,669.7000213,VERO,9,0.1,30,0.82,0.27,83087.53795,0.433516733,0.027566623,15.72614596,24568.24441,151.022837,36.86740475,FALSO,44355.00168,9417.40928,8211.217291,1669.009999,3350.183962,4774.493893,766.0556721,1622.000583,1372.570512,88.48296879,583.3948751,1280.944853,120.6555704,7766.408559,1247.477016,485.3438359,18587.53627,23234.42034,20145
550,633.4527129,VERO,9,0.1,35,0.8,0.27,83915.75735,0.455463518,0.027598578,16.50315194,25465.61671,152.5479293,37.05308845,FALSO,45324.22315,10083.26611,8211.217291,1685.864365,3387.096403,4953.029214,811.7998764,1638.174102,1372.570512,89.37650709,584.6960649,1280.944853,120.6555704,7766.408559,1254.427085,485.3438359,18446.53419,23058.16774,20145
550,669.7000213,VERO,9,0.1,30,0.82,0.23,82961.38457,0.433516733,0.027614871,15.69866969,24584.07826,150.7946537,36.83954239,FALSO,44234.25737,9304.645138,8211.217291,1666.488259,3344.661151,4777.642364,765.5021934,1619.580711,1372.570512,88.34927815,583.4178341,1280.944853,120.6555704,7766.408559,1247.477016,485.3438359,18582.1272,23227.659,20145
600,633.4527129,VERO,11,0.1,35,0.82,0.23,83256.4956,0.472927345,0.027615212,17.12560988,23690.50574,138.7363508,39.06532809,FALSO,45554.86405,10970.52837,8211.217291,1533.227433,3358.072076,4600.059076,853.8970105,1491.703069,1372.570512,81.28442321,582.122154,1280.944853,120.6555704,7766.408559,1247.477016,485.3438359,17556.63155,21945.78944,20145
550,633.4527129,VERO,9,0.1,35,0.8,0.23,83768.1,0.455463518,0.027654292,16.4699035,25477.64794,152.2802816,37.02056907,FALSO,45183.05814,9952.800851,8211.217291,1682.90649,3380.61841,4955.424214,811.1187416,1635.335713,1372.570512,89.21969462,584.7135102,1280.944853,120.6555704,7766.408559,1254.427085,485.3438359,18440.04187,23050.05233,20145
550,669.7000213,VERO,11,0.12,30,0.8,0.31,83234.86899,0.455463518,0.027687394,16.45021281,22552.14721,151.3125589,40.79752625,FALSO,44751.74187,10119.14296,8211.217291,1672.211824,3357.196216,4374.124473,843.9485679,1625.073067,1372.570512,88.65271432,580.4715341,1280.944853,120.6555704,7766.408559,1254.427085,485.3438359,18338.12712,22922.6589,20145
550,669.7000213,VERO,9,0.1,30,0.8,0.31,82732.43936,0.455463518,0.027705239,16.43961695,24441.01031,150.3788707,36.78871887,FALSO,44354.28968,9466.70174,8211.217291,1661.893285,3334.597793,4749.196383,764.49255,1615.171355,1372.570512,88.10567449,583.2103856,1280.944853,120.6555704,7766.408559,1254.427085,485.3438359,18233.14969,22791.43711,20145
550,726.6670994,VERO,11,0.1,20,0.76,0.31,81726.30646,0.504668718,0.027716654,18.20813992,21422.93724,148.5530255,40.42379596,FALSO,44238.09079,10014.71747,8211.217291,1641.715185,3290.406203,4150.343032,773.748719,1595.808366,1372.570512,87.03592764,578.8341797,1280.944853,120.6555704,7766.408559,1268.988281,485.3438359,17343.21567,21679.01958,20145
550,669.7000213,VERO,11,0.12,30,0.8,0.27,83074.29358,0.455463518,0.027723559,16.42875344,22540.20467,151.0214778,40.75826611,FALSO,44609.79688,9993.879643,8211.217291,1668.994978,3350.151065,4371.755981,843.1721401,1621.986168,1372.570512,88.48217244,580.4542174,1280.944853,120.6555704,7766.408559,1254.427085,485.3438359,18319.4967,22899.37087,20145
