W_S,S,S_wet,S_vert,S_orizz,b,lambda,c_root,c_tip,MAC,AR,t_c,sweep25,V_fuel,M,W_fuel,W_block_fuel,E_crociera,CD,Cd0,Cdi,Cdw,CL_crociera,CL_max,T,T_W,WTO,OEW,W_wing,W_tail,W_LG,W_propuls,W_fuelsys,W_hydr,ADP,flight_cost,maintenance_cost,DOC,PREE
600,141.2387252,290.8670306,25.42297053,35.3096813,35.65316994,0.23,7.278395932,1.674031064,5.060950754,9,0.12,20,25780.77946,0.76,20624.62357,17677.95,14.98846969,0.037071014,0.021922028,0.011908587,0.003240399,0.555637768,2.576731135,25478.17677,0.300651453,84765.74846,42861.12489,7649.460224,1491.509572,3424.144142,5344.783663,686.2157988,1492.06496,82.81599529,5052.381083,1020.781062,0.043089379,0.451409899
600,141.4958792,291.3966137,25.46925826,35.37396981,35.68561213,0.31,6.839324254,2.120190519,4.894032485,9,0.12,20,25791.51077,0.76,20633.20861,17685.68,15.01827291,0.036997448,0.021930811,0.011826237,0.003240399,0.555637768,2.576731135,25434.717,0.299593142,84921.88143,43008.67282,7793.692588,1494.225171,3430.933983,5335.229767,686.8127268,1494.744407,82.98479962,5054.232078,1022.284667,0.04311318,0.451212535
650,130.2110463,266.802434,23.43798834,32.55276159,32.27519745,0.27,7.277917616,1.965037756,5.130454366,8,0.1,20,25852.48278,0.76,20681.98622,17726.05,14.90321694,0.040389999,0.023089611,0.015619157,0.001681231,0.601940915,2.576731135,27892.45017,0.32955316,84660.58899,42698.60277,7255.912601,1375.055048,3419.477054,5877.084404,623.9266812,1377.160779,83.50212494,5057.500503,1032.835304,0.043211227,0.450184954
650,130.332865,267.0520403,23.4599157,32.58321624,32.29029142,0.31,7.058510687,2.188138313,5.050876273,8,0.1,20,25862.15026,0.76,20689.72021,17732.82,14.91505904,0.04035793,0.023092629,0.015584071,0.001681231,0.601940915,2.576731135,27883.11479,0.32913494,84740.19616,42770.47595,7323.472831,1376.341477,3422.961566,5875.02033,624.205628,1378.430083,83.58905391,5058.782933,1033.642192,0.043226051,0.450012928
650,130.1324296,266.6413483,23.42383733,32.53310741,32.26545269,0.23,7.512659176,1.72791161,5.223843066,8,0.1,20,25863.57941,0.76,20690.86352,17733.39,14.88144522,0.04044909,0.023087143,0.015680717,0.001681231,0.601940915,2.576731135,27937.36385,0.330283235,84606.70676,42635.84324,7187.281093,1374.224839,3417.228294,5887.015533,623.7465882,1376.341623,83.43945378,5058.056448,1032.339187,0.043211652,0.449998675
550,159.0451142,325.8834389,28.62812055,39.76127854,35.67016839,0.23,8.191592091,1.884066181,5.695931433,8,0.1,30,25918.8555,0.8,20735.0844,17735.67,14.83531105,0.030985161,0.02050732,0.009922342,0.000555499,0.459674495,2.37472826,28152.81678,0.32183912,87492.24054,45477.15614,9126.033662,1679.548649,3544.351079,5934.669793,742.2560928,1677.600698,89.3599807,5253.048323,1082.602554,0.042801935,0.449940792
600,144.2537495,295.5759327,25.9656749,36.06343737,33.971017,0.23,7.852392245,1.806050216,5.460072635,8,0.1,30,25928.0472,0.8,20742.43776,17738.72,14.60636605,0.034331817,0.02174323,0.011808407,0.000780181,0.501463086,2.37472826,28872.35505,0.333582953,86567.34503,44544.90726,8426.846559,1523.34884,3503.75232,6093.987457,708.4183646,1523.480356,88.41831188,5247.708615,1075.44004,0.042717473,0.449863441
600,144.4133122,295.9028768,25.9943962,36.10332806,33.98979991,0.27,7.608700615,2.054349166,5.363634675,8,0.1,30,25931.93447,0.8,20745.54757,17741.65,14.62617902,0.03428531,0.02174308,0.011762049,0.000780181,0.501463086,2.37472826,28840.43253,0.33284596,86663.37453,44637.82695,8518.85757,1525.033855,3507.965395,6086.913809,708.7928172,1525.142939,88.52664213,5248.672062,1076.383513,0.042730356,0.449788965
550,159.2515147,326.3063537,28.66527265,39.81287868,35.69330635,0.27,7.938067141,2.143278128,5.595816464,8,0.1,30,25930.09086,0.8,20744.07269,17743.62,14.85351932,0.030947177,0.02050829,0.009883388,0.000555499,0.459674495,2.37472826,28130.14626,0.321163165,87606.14821,45582.07552,9226.094229,1681.728281,3549.346713,5929.654385,742.7163761,1679.751313,89.48647564,5254.748614,1083.736559,0.042821082,0.44973923
600,144.6072906,296.3003385,26.02931231,36.15182265,34.01262008,0.31,7.380646994,2.288000568,5.281388162,8,0.1,30,25953.15048,0.8,20762.52039,17756.32,14.63706632,0.034259808,0.021744001,0.011735627,0.000780181,0.501463086,2.37472826,28842.46453,0.332422895,86780.16101,44737.64062,8608.458057,1527.082306,3513.087176,6087.36406,709.2477436,1527.164119,88.65587171,5251.235167,1077.601872,0.042755902,0.449417403
550,159.4904612,326.795955,28.70828302,39.8726153,35.72007404,0.31,7.700705792,2.387218796,5.510413442,8,0.1,30,25956.84044,0.8,20765.47235,17762.06,14.86340284,0.030926599,0.020509913,0.009861187,0.000555499,0.459674495,2.37472826,28138.28602,0.320774795,87738.06262,45692.59026,9323.327548,1684.251605,3555.130076,5931.455116,743.2488495,1682.241044,89.63116371,5257.876333,1085.113809,0.042851517,0.449272169
550,159.1995847,326.1999491,28.65592525,39.79989618,35.68748629,0.23,8.195052655,1.884862111,5.698337697,8,0.1,30,25977.54678,0.76,20782.03743,17819.91,15.53136194,0.032793944,0.020559463,0.012182033,5.24E-05,0.509334621,2.37472826,28184.71212,0.321891111,87578.08922,45516.05179,9135.850688,1681.17989,3548.089821,5941.726453,742.600599,1679.210223,87.12763784,5085.956673,1068.017233,0.043662743,0.447813794
550,159.3968774,326.6042018,28.69143793,39.84921935,35.70959282,0.27,7.941219174,2.144129177,5.59803844,8,0.1,30,25983.72236,0.76,20786.97789,17824.44,15.553454,0.032747364,0.020560707,0.012134208,5.24E-05,0.509334621,2.37472826,28160.43268,0.321215745,87686.71756,45619.73967,9235.475806,1683.263341,3552.865012,5936.35472,743.040355,1681.265936,87.2477344,5087.13615,1069.106012,0.043678836,0.44769998
600,143.6711929,295.8764547,25.86081473,35.91779823,35.95887563,0.23,7.33270372,1.686521856,5.098713064,9,0.12,30,26071.4079,0.8,20857.12632,17834.06,14.40973828,0.034800291,0.021779424,0.010524703,0.002496164,0.501463086,2.37472826,27035.75603,0.31362998,86217.72859,44080.60227,8359.704287,1517.196925,3488.370579,5687.852752,747.9984082,1517.41034,87.15750229,5257.497983,1059.288752,0.042674494,0.447458521
550,159.6301226,327.0821213,28.73342207,39.90753066,35.73571017,0.31,7.703639641,2.388128289,5.512512824,8,0.1,30,26007.49119,0.76,20805.99295,17840.9,15.56556268,0.032721889,0.02056249,0.01210695,5.24E-05,0.509334621,2.37472826,28167.57644,0.320827764,87815.50092,45729.50796,9332.458241,1685.726458,3558.510385,5937.935218,743.5598812,1683.696262,87.38661521,5089.859241,1070.444523,0.043707653,0.44728677
600,143.8877391,296.3224098,25.89979303,35.97193477,35.98596465,0.27,7.106413972,1.918731772,5.00955555,9,0.12,30,26091.26642,0.8,20873.01314,17847.85,14.42495054,0.034763591,0.021789082,0.010478345,0.002496164,0.501463086,2.37472826,27076.50524,0.31362998,86348.3872,44195.37406,8454.498285,1519.483696,3494.088232,5696.845139,748.5370978,1519.666668,87.32050334,5260.038792,1060.915096,0.042702646,0.447112684
600,144.6277467,296.342253,26.03299441,36.15693667,34.0150257,0.27,7.613572968,2.055664701,5.367069364,8,0.1,30,26031.53405,0.76,20825.22724,17853.75,15.28948037,0.036341181,0.021799761,0.014440711,0.000100708,0.555637768,2.37472826,28887.49275,0.332894775,86792.70253,44687.47529,8532.659104,1527.298326,3513.627296,6097.341966,709.2956995,1527.377263,86.34739861,5085.374949,1062.158425,0.043617047,0.446964817
600,144.4768986,296.0331652,26.00584174,36.11922465,33.99728208,0.23,7.857630192,1.807254944,5.463714782,8,0.1,30,26033.00579,0.76,20826.40463,17854.45,15.26564676,0.036397919,0.021799584,0.014497626,0.000100708,0.555637768,2.37472826,28921.19461,0.333631131,86702.1677,44595.76306,8441.019125,1525.70534,3509.644321,6104.810695,708.9419778,1525.805484,86.24502174,5084.924543,1061.25784,0.043607462,0.446947313
600,144.8164342,296.7288738,26.06695816,36.20410856,34.0372072,0.31,7.385251111,2.289427844,5.284682742,8,0.1,30,26049.64949,0.76,20839.71959,17866.35,15.30267297,0.036309851,0.021800871,0.014408271,0.000100708,0.555637768,2.37472826,28888.45646,0.332472124,86906.31996,44786.60037,8622.07578,1529.290905,3518.60938,6097.555528,709.7378794,1529.343315,86.47128462,5087.549062,1063.34084,0.043640862,0.446649686
650,129.8443674,267.4014901,23.37198612,32.46109184,34.18478179,0.23,7.017802358,1.614094542,4.879749943,9,0.12,20,26075.934,0.76,20860.7472,17876.3,14.66431229,0.041048015,0.023141325,0.01397605,0.003930641,0.601940915,2.576731135,26427.79707,0.313129866,84422.1296,42281.3824,7147.257755,1371.182843,3408.988536,5553.793064,659.1724538,1373.340125,82.44220428,5074.026029,1019.422226,0.04323331,0.446401084
650,129.9781347,267.6769706,23.39606425,32.49453368,34.20238606,0.27,6.799792398,1.835943948,4.79340746,9,0.12,20,26080.872,0.76,20864.6976,17879.9,14.68174117,0.040999287,0.023154156,0.01391449,0.003930641,0.601940915,2.576731135,26455.02333,0.313129866,84510.62042,42365.92282,7218.723628,1372.595454,3412.814829,5559.792538,659.4969706,1374.73393,82.55867636,5074.982249,1020.592856,0.0432484,0.446311244
650,130.1677962,268.0675595,23.43020332,32.54194906,34.22733069,0.31,6.596318205,2.044858644,4.720144035,9,0.12,20,26106.34636,0.76,20885.07709,17897.49,14.69174499,0.04097137,0.023161325,0.013879404,0.003930641,0.601940915,2.576731135,26493.62597,0.313129866,84620.94844,42455.87135,7290.13409,1374.598318,3418.239924,5568.299535,659.9567869,1376.71013,82.68611693,5077.738686,1021.893944,0.043277189,0.445872681
550,157.9869665,325.3583588,28.43765397,39.49674162,35.55131125,0.27,7.910588223,2.13585882,5.57644563,8,0.12,30,26118.44164,0.76,20894.75331,17912.8,15.246288,0.033407123,0.020872091,0.012134208,0.000400824,0.509334621,2.37472826,27945.46126,0.321608362,86908.20668,44733.45337,8464.729336,1668.374396,3518.740124,5888.806106,739.8914603,1666.575206,86.06764313,5093.106914,1057.384358,0.043638033,0.44549158
